X,Y,YEAR,LAYER,HEIGHT,DBH,AGE,SPECIES,MANAGEMENT,GPP,GPP_SUN:GPP,GPP_SHADE:GPP,Av_SUN:A_SUN,Aj_SUN:A_SUN,Av_SHADE:A_SHADE,Aj_SHADE:A_SHADE,Av_TOT:A_TOT,Aj_TOT:A_TOT,GR,MR,RA,NPP,BP,reser_as_diff,ResAlloc,ResDeple,ResUsage,BP/NPP,ResAlloc/NPP,ResAlloc/BP,ResDeple/NPP,ResDeple/BP,ResUsage/NPP,ResUsage/BP,CUE,BPE,diffCUE-BPE,Y(perc),MAX_NSC_CONC,MIN_NSC_CONC,PeakLAI,MaxLAI,SLA,SAPWOOD-AREA,HEARTWOOD-AREA,CC-Proj,DBHDC,CROWN_DIAMETER,CROWN_HEIGHT,CROWN_AREA_PROJ,APAR,LIVETREE,DEADTREE,THINNEDTREE,VEG_D,FIRST_VEG_DAY,CTRANSP,CINT,CLE,WUE,MAX_ANN_RESERVE_C,MIN_ANN_RESERVE_C,TREE_MAX_ANN_RESERVE_C,TREE_MIN_ANN_RESERVE_C,MIN_RESERVE_C,RESERVE_C,STEM_C,STEMSAP_C,STEMHEART_C,STEMSAP_PERC,STEMLIVE_C,STEMDEAD_C,STEMLIVE_PERC,MAX_LEAF_C,MAX_FROOT_C,CROOT_C,CROOTLIVE_C,CROOTDEAD_C,CROOTLIVE_PERC,BRANCH_C,BRANCHLIVE_C,BRANCHDEAD_C,BRANCHLIVE_PERC,FRUIT_C,MAX_FRUIT_C,TOT_SAPWOOD_C,TOT_HEARTWOOD_C,RESERVE_N,STEM_N,STEMLIVE_N,STEMDEAD_N,CROOT_N,CROOTLIVE_N,CROOTDEAD_N,BRANCH_N,BRANCHLIVE_N,BRANCHDEAD_N,FRUIT_N,STANDING_WOOD,DELTA_WOOD,CUM_DELTA_WOOD,BASAL_AREA,TREE_CAI,TREE_MAI,CAI,MAI,VOLUME,TREE_VOLUME,DELTA_TREE_VOL(perc),DELTA_AGB,DELTA_BGB,AGB,BGB,BGB:AGB,DELTA_TREE_AGB,DELTA_TREE_BGB,C_HWP,VOLUME_HWP,STEM_RA,LEAF_RA,FROOT_RA,CROOT_RA,BRANCH_RA,gpp,npp,ar,hr,rsoil,rsoilCO2,reco,nee,nep,et,le,soil-evapo,avg_asw,iWue,vol,cum_vol,run_off,litrC,litr1C,litr2C,litr3C,litr4C,cwdC,cwd2C,cwd3C,cwd4C,soilC,soil1C,soil2C,soil3C,soil4C,litrN,litr1N,litr2N,litr3N,litr4N,cwdN,cwd2N,cwd3N,cwd4N,soilN,soil1N,soil2N,soil3N,soil4N,soil_depth,solar_rad,tavg,tmax,tmin,tday,tnight,vpd,prcp,tsoil,rh,[CO2]
0,0,1997,0,21.7073,25.0138,76,Fagussylvatica,T,1924.6275,0.4273,0.5727,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,251.0803,864.2796,1115.3598,809.2677,697.3507,111.9169,661.3838,548.9727,112.4111,0.8617,0.8173,0.9484,0.6784,0.7872,0.1389,0.1612,0.4205,0.3623,0.0581,57.9520,12.1991,5.9448,5.8019,5.7984,40.0000,370.8093,120.6076,1.0900,0.2659,6.5246,6.3382,33.4347,5312.8183,326,3,0,211,100,299.9105,27.0732,9314.8470,2.6984,12.3223,5.7496,0.0375,0.0175,10.7077,11.7239,44.5413,33.6096,10.9317,75.4572,4.3693,40.1721,9.8094,1.5955,1.9146,15.9555,1.5626,14.3929,9.7936,5.5995,0.5503,5.0492,9.8276,0.0000,1.1901,49.8627,16.2336,0.0124,0.1637,0.0907,0.0730,0.0586,0.0324,0.0262,0.0206,0.0114,0.0092,0.0000,66.0963,2.6212,2.6212,16.0202,0.0226,0.0061,6.0532,1.9813,150.5780,0.4619,4.8952,1.5928,0.4201,50.1408,15.9555,0.3182,0.0062,0.0017,0.0000,0.0000,445.9414,253.6949,202.5635,155.9225,57.2375,1924.6275,809.2677,1115.3598,51.9156,410.4016,1503.4278,1167.28,-757.35,757.35,364.92,10396.87,37.94,387.01,4.98,150.58,150.58,498.31,200.95,0.03,25.70,102.79,72.43,71.70,53.78,0.00,17.93,62.97,29.15,21.52,11.77,0.54,7.93,0.00,0.44,4.75,2.74,0.25,0.18,0.00,0.06,3.42,0.98,1.74,0.70,0.01,180.00,9.4356,10.6736,13.5026,8.3414,11.9466,10.1440,4.2669,571.0992,10.6975,74.2731,380.9300
0,0,1998,0,21.9251,25.4205,77,Fagussylvatica,T,1702.7656,0.4316,0.5684,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,239.9953,772.5612,1012.5565,690.2091,659.4534,30.7557,574.8218,537.9769,36.8449,0.9554,0.8328,0.8717,0.7794,0.8158,0.0534,0.0559,0.4053,0.3873,0.0181,59.4654,12.1728,6.8438,5.9343,5.9307,40.0000,379.7953,127.7321,1.0899,0.2620,6.5545,6.5122,33.7423,4669.4977,323,6,0,198,110,261.0762,36.1839,8469.8378,2.6437,12.4416,6.7454,0.0382,0.0207,10.9698,11.9810,45.6769,34.1811,11.4957,74.8325,4.4435,41.2333,9.7282,1.6319,1.9583,16.0902,1.5806,14.5096,9.8236,5.6966,0.5630,5.1336,9.8838,0.0000,1.0322,50.4431,17.0206,0.0252,0.1672,0.0922,0.0750,0.0592,0.0328,0.0264,0.0210,0.0117,0.0093,0.0000,67.4637,2.2741,4.8953,16.3931,0.0199,0.0063,5.0516,2.0212,155.6296,0.4818,4.1363,1.2327,0.1347,51.3735,16.0902,0.3132,0.0052,0.0009,0.0000,0.0000,394.0613,237.4319,193.5287,136.7121,50.8225,1702.7656,690.2091,1012.5565,155.5821,485.8229,1779.7193,1168.14,-534.63,534.63,345.68,9851.74,48.42,442.26,4.64,155.63,306.21,271.76,250.60,0.73,32.61,126.64,90.62,160.84,120.63,0.00,40.21,193.14,33.13,72.16,65.68,22.16,13.62,0.03,0.61,9.60,3.39,0.58,0.44,0.00,0.15,9.37,-0.16,2.68,6.54,0.31,180.00,9.4549,8.1371,11.1631,5.7037,9.4988,7.6012,3.5909,634.5117,8.1382,77.0082,370.4675
0,0,1999,0,22.0987,25.7489,78,Fagussylvatica,T,1597.8214,0.4240,0.5760,0.0026,0.9974,0.0000,1.0000,0.0022,0.9978,224.0680,782.0751,1006.1431,591.6783,607.1747,-15.4964,568.4321,572.0060,-3.5740,1.0262,0.9607,0.9362,0.9668,0.9421,-0.0060,-0.0059,0.3703,0.3800,-0.0097,62.9697,12.1069,6.8088,6.0000,5.9964,40.0000,385.6398,135.0818,1.0898,0.2590,6.5849,6.5775,34.0557,4484.2483,320,9,0,184,121,242.0609,35.2687,7896.5008,2.4443,12.4204,6.7918,0.0385,0.0210,11.0975,11.8343,46.5090,34.4439,12.0650,74.0587,4.4777,42.0312,9.6276,1.6500,1.9800,16.1723,1.5861,14.5862,9.8077,5.7651,0.5700,5.1951,9.8873,0.0000,0.8388,50.6278,17.8186,0.0382,0.1693,0.0929,0.0764,0.0594,0.0329,0.0265,0.0213,0.0118,0.0094,0.0000,68.4463,1.8486,6.7439,16.6631,0.0164,0.0064,3.8150,2.0442,159.4445,0.4983,3.2992,0.9005,0.0821,52.2740,16.1723,0.3094,0.0043,0.0007,0.0000,0.0000,395.9257,231.3829,190.5443,137.2100,51.0802,1597.8214,591.6783,1006.1431,198.1367,525.8910,1926.5010,1204.28,-393.54,393.54,328.20,9347.62,50.87,425.63,4.58,159.44,465.65,326.57,258.43,0.04,34.22,129.89,94.27,235.91,176.93,0.00,58.98,336.32,32.49,109.92,132.43,61.48,18.53,0.00,0.54,14.51,3.48,0.89,0.67,0.00,0.22,16.27,-1.72,1.65,15.29,1.05,180.00,9.0780,9.1317,11.7562,6.9020,10.3127,8.6074,3.6855,648.7370,9.1132,77.6709,378.8125
0,0,2000,0,22.4416,26.4092,79,Fagussylvatica,T,2116.7958,0.4281,0.5719,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,302.2693,831.2516,1133.5210,983.2748,860.4483,122.8265,681.8385,572.3002,109.5383,0.8751,0.6934,0.7924,0.5820,0.6651,0.1114,0.1273,0.4645,0.4065,0.0580,53.5489,12.3868,6.4726,6.0000,5.9964,40.0000,405.4732,142.2985,1.0897,0.2569,6.6157,6.6296,34.3750,5687.2291,317,12,0,254,67,282.9802,42.2424,9282.4560,3.4747,13.2314,6.5065,0.0413,0.0203,11.1381,12.8084,48.6310,35.9978,12.6332,74.0223,4.6797,43.9513,9.6229,1.6500,1.9800,16.7090,1.6446,15.0644,9.8427,6.0347,0.6009,5.4338,9.9575,0.0000,1.7079,52.7531,18.6217,0.0511,0.1770,0.0971,0.0799,0.0615,0.0341,0.0274,0.0223,0.0125,0.0099,0.0000,71.3747,3.7645,10.5084,17.3644,0.0340,0.0067,9.2889,2.1359,168.7335,0.5323,6.3910,2.3917,0.5367,54.6657,16.7090,0.3057,0.0091,0.0022,0.0000,0.0000,455.0952,257.7786,205.0934,155.7644,59.7894,2116.7958,983.2748,1133.5210,209.7689,570.6266,2090.3813,1343.29,-773.51,773.51,361.42,10314.52,36.20,424.07,5.56,168.73,634.39,120.03,268.54,0.50,35.87,133.90,98.26,299.76,224.82,0.00,74.94,474.83,35.11,127.98,200.59,111.14,23.68,0.02,0.66,19.42,3.58,1.17,0.88,0.00,0.29,22.91,-3.00,-1.52,25.17,2.26,180.00,9.1506,9.0563,11.8875,6.7751,10.3303,8.5527,3.4780,495.5357,9.1532,76.5330,376.8125
0,0,2001,0,22.5873,26.6944,80,Fagussylvatica,T,1557.9216,0.4272,0.5728,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,215.4338,816.0293,1031.4631,526.4586,580.1235,-53.6649,527.8234,566.8434,-39.0200,1.1019,1.0026,0.9098,1.0767,0.9771,-0.0741,-0.0673,0.3379,0.3724,-0.0344,66.2076,12.2181,7.3373,6.0000,5.9964,40.0000,409.4881,150.1801,1.0896,0.2517,6.6469,6.7325,34.7003,4338.4123,314,15,0,176,127,257.5380,24.7372,8033.9035,2.0442,12.8350,7.6301,0.0405,0.0241,11.6057,12.3006,49.2879,36.0621,13.2258,73.1662,4.6881,44.5998,9.5116,1.6500,1.9800,16.5988,1.6423,14.9566,9.8938,6.0274,0.6041,5.4233,10.0221,0.0000,0.7457,52.5068,19.4072,0.0641,0.1784,0.0973,0.0811,0.0613,0.0341,0.0272,0.0224,0.0125,0.0099,0.0000,71.9141,1.6440,12.1524,17.5736,0.0151,0.0068,3.1414,2.1484,171.8749,0.5474,2.7568,0.6496,-0.1102,55.3153,16.5988,0.3001,0.0037,0.0002,0.0000,0.0000,406.4912,238.6965,194.0014,139.3374,52.9366,1557.9216,526.4586,1031.4631,229.8352,563.1740,2063.0803,1261.30,-296.62,296.62,326.13,9286.59,43.85,404.45,4.48,171.87,806.26,187.35,265.53,0.11,36.10,131.40,97.92,379.26,284.45,0.00,94.82,617.22,33.19,141.43,273.75,168.86,28.44,0.00,0.57,24.33,3.53,1.53,1.15,0.00,0.38,29.99,-4.67,-5.30,35.93,4.02,180.00,9.4829,8.0209,11.0569,5.5144,9.3871,7.4508,3.7903,496.6556,7.9380,76.8452,378.8125
0,0,2002,0,22.7462,27.0089,81,Fagussylvatica,T,1647.6866,0.4172,0.5828,0.0056,0.9944,0.0000,1.0000,0.0048,0.9952,222.4342,802.5254,1024.9596,622.7270,603.2083,19.5186,596.6485,564.7682,31.8804,0.9687,0.9581,0.9891,0.9069,0.9363,0.0512,0.0529,0.3779,0.3661,0.0118,62.2060,12.2390,6.8656,6.0000,5.9964,40.0000,414.8227,158.1112,1.0895,0.2502,6.6786,6.7762,35.0318,4675.0642,311,18,0,184,121,267.4258,22.9885,8270.0768,2.3286,13.0653,7.1416,0.0416,0.0227,11.5515,12.4988,50.0526,36.2397,13.8129,72.4032,4.7112,45.3414,9.4124,1.6500,1.9800,16.7410,1.6447,15.0964,9.8241,6.1142,0.6093,5.5049,9.9652,0.0000,0.8248,52.6723,20.2355,0.0770,0.1802,0.0977,0.0824,0.0616,0.0341,0.0274,0.0227,0.0126,0.0100,0.0000,72.9078,1.8186,13.9710,17.8182,0.0169,0.0070,3.6189,2.1666,175.4938,0.5643,2.9978,0.8516,0.1422,56.1668,16.7410,0.2981,0.0044,0.0010,0.0000,0.0000,407.7475,233.1681,191.0425,139.6746,53.3269,1647.6866,622.7270,1024.9596,222.1777,552.8948,2025.4241,1247.14,-400.55,400.55,337.95,9626.72,47.54,389.96,4.59,175.49,981.75,167.19,279.12,0.16,38.17,137.59,103.21,429.07,321.80,0.00,107.27,752.69,34.37,149.12,343.26,225.95,33.59,0.00,0.64,29.25,3.70,1.80,1.35,0.00,0.45,36.67,-6.07,-9.44,46.03,6.14,180.00,9.7138,8.8460,11.7215,6.4593,10.1400,8.2997,4.1965,508.6678,8.8448,73.6287,382.7000
0,0,2003,0,22.898,27.3128,82,Fagussylvatica,T,1560.6890,0.4360,0.5640,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,220.0191,789.5863,1009.6054,551.0836,595.8239,-44.7402,561.0783,592.7080,-31.6297,1.0812,1.0181,0.9417,1.0755,0.9948,-0.0574,-0.0531,0.3531,0.3818,-0.0287,64.6897,12.0015,6.9652,6.0000,5.9964,40.0000,419.7470,166.1493,1.0894,0.2485,6.7108,6.8239,35.3698,4190.7716,308,21,0,176,127,234.4713,31.9570,7592.2868,2.3503,12.8397,7.2636,0.0413,0.0234,11.5879,12.0650,50.7673,36.3706,14.3967,71.6419,4.7282,46.0391,9.3134,1.6500,1.9800,16.8539,1.6453,15.2086,9.7620,6.1888,0.6136,5.5752,9.9148,0.0000,0.7993,52.7580,21.0520,0.0899,0.1818,0.0981,0.0837,0.0618,0.0341,0.0277,0.0229,0.0127,0.0101,0.0000,73.8100,1.7628,15.7338,18.0456,0.0166,0.0071,3.4256,2.1819,178.9194,0.5809,2.8607,0.7893,0.1129,56.9561,16.8539,0.2959,0.0043,0.0009,0.0000,0.0000,410.6357,222.0797,183.1667,139.8716,53.8516,1560.6890,551.0836,1009.6054,258.0755,581.1139,2128.7995,1267.68,-293.01,293.01,312.17,8897.08,45.74,437.10,4.72,178.92,1160.67,259.09,245.18,0.00,34.12,119.64,91.41,470.68,353.01,0.00,117.67,911.29,27.59,167.03,426.95,289.72,37.73,0.00,0.34,34.17,3.23,2.05,1.54,0.00,0.51,44.38,-8.13,-13.60,57.20,8.91,180.00,9.1228,8.9299,11.7016,6.6714,10.1771,8.4243,3.4082,570.4607,8.9075,76.6216,372.5225
0,0,2004,0,23.0607,27.6421,83,Fagussylvatica,T,1605.8584,0.4426,0.5574,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,226.2045,747.7887,973.9932,631.8652,616.3046,15.5606,603.0109,576.3604,26.6505,0.9754,0.9543,0.9784,0.9122,0.9352,0.0422,0.0432,0.3935,0.3838,0.0097,60.6525,11.9216,6.5155,6.0000,5.9965,40.0000,425.8572,174.2560,1.0893,0.2469,6.7434,6.8694,35.7143,4204.8903,305,24,0,180,124,214.8329,36.8350,7177.0392,2.9412,12.8089,6.8082,0.0416,0.0221,11.6068,12.2113,51.5755,36.5994,14.9761,70.9628,4.7579,46.8175,9.2252,1.6500,1.9800,17.0050,1.6500,15.3550,9.7032,6.2798,0.6197,5.6601,9.8679,0.0000,0.8694,52.9987,21.8615,0.1028,0.1838,0.0987,0.0851,0.0622,0.0342,0.0279,0.0231,0.0129,0.0103,0.0000,74.8602,1.9177,17.6515,18.3035,0.0183,0.0072,3.8462,2.2020,182.7656,0.5992,3.0580,0.8991,0.1512,57.8552,17.0050,0.2939,0.0048,0.0010,0.0000,0.0000,393.3839,215.9890,179.1417,133.6597,51.8189,1605.8584,631.8652,973.9932,228.0571,540.8585,1981.3317,1202.05,-403.81,403.81,300.51,8573.97,48.84,449.32,5.06,182.77,1343.44,406.35,266.39,0.06,37.11,129.88,99.34,512.06,384.05,0.00,128.02,1045.90,32.33,166.17,496.84,350.56,43.13,0.00,0.55,39.08,3.50,2.31,1.73,0.00,0.58,50.82,-9.24,-18.80,66.92,11.93,180.00,9.0562,8.4797,11.2256,6.2122,9.7154,7.9638,2.9548,706.8633,8.4855,79.1404,384.7700
0,0,2005,0,23.1844,27.895,84,Fagussylvatica,T,1650.7271,0.4146,0.5854,0.0061,0.9939,0.0000,1.0000,0.0053,0.9947,208.0428,891.7658,1099.8086,550.9185,557.8555,-6.9369,580.5935,569.7170,10.8764,1.0126,1.0539,1.0408,1.0341,1.0213,0.0197,0.0195,0.3337,0.3379,-0.0042,66.6257,11.8997,6.6688,6.0000,5.9965,40.0000,428.6005,182.5431,1.0892,0.2451,6.7764,6.9182,36.0656,4774.8166,302,27,0,191,115,285.3400,27.2105,8888.5734,1.9307,12.7350,7.0020,0.0418,0.0230,11.6597,12.1988,52.0703,36.5174,15.5529,70.1309,4.7473,47.3231,9.1170,1.6500,1.9800,17.0463,1.6422,15.4042,9.6337,6.3216,0.6199,5.7017,9.8066,0.0000,0.6689,52.7773,22.6610,0.1156,0.1845,0.0985,0.0860,0.0621,0.0341,0.0280,0.0232,0.0129,0.0104,0.0000,75.4383,1.4755,19.1270,18.4565,0.0143,0.0073,2.5166,2.2057,185.2822,0.6135,2.3285,0.5367,0.0413,58.3919,17.0463,0.2919,0.0037,0.0007,0.0000,0.0000,431.2410,258.0887,207.1333,146.6082,56.7374,1650.7271,550.9185,1099.8086,248.2430,601.9845,2205.2549,1348.05,-302.68,302.68,355.30,10107.57,42.75,371.86,4.34,185.28,1528.72,161.81,270.90,0.26,37.90,131.54,101.19,548.31,411.24,0.00,137.08,1184.38,33.58,158.95,572.32,419.53,48.13,0.01,0.61,43.97,3.55,2.57,1.93,0.00,0.64,57.58,-10.63,-24.90,77.16,15.95,180.00,9.4737,8.9367,11.8794,6.5628,10.2609,8.4119,4.3072,440.2234,8.9582,74.8359,374.7600
0,0,2006,0,23.3255,28.1865,85,Fagussylvatica,T,1633.0631,0.4158,0.5842,0.0056,0.9944,0.0000,1.0000,0.0048,0.9952,217.1591,807.4977,1024.6569,608.4062,587.8463,20.5599,601.7883,567.2835,34.5047,0.9662,0.9891,1.0237,0.9324,0.9650,0.0567,0.0587,0.3726,0.3600,0.0126,62.7445,12.1313,6.7114,6.0000,5.9965,40.0000,433.1375,190.8428,1.0891,0.2441,6.8100,6.9553,36.4238,4675.1025,299,30,0,184,121,270.9376,22.9887,8370.0709,2.2456,12.9938,7.0213,0.0430,0.0232,11.6110,12.4192,52.7093,36.5883,16.1210,69.4153,4.7565,47.9528,9.0240,1.6500,1.9800,17.1780,1.6407,15.5373,9.5513,6.4006,0.6230,5.7776,9.7332,0.0000,0.7715,52.8287,23.4592,0.1285,0.1859,0.0987,0.0872,0.0623,0.0340,0.0282,0.0234,0.0129,0.0105,0.0000,76.2878,1.7024,20.8294,18.6570,0.0167,0.0074,3.1524,2.2169,188.4346,0.6302,2.6497,0.7179,0.1317,59.1098,17.1780,0.2906,0.0043,0.0010,0.0000,0.0000,408.3912,233.0070,190.8478,138.4370,53.9739,1633.0631,608.4062,1024.6569,237.6803,566.9650,2076.9678,1262.34,-370.73,370.73,341.70,9733.67,47.78,381.52,4.50,188.43,1717.16,89.29,284.01,0.16,39.82,137.83,106.20,582.61,436.96,0.00,145.65,1323.54,34.43,162.71,645.36,481.05,53.26,0.01,0.65,48.88,3.72,2.83,2.12,0.00,0.71,64.26,-12.06,-29.78,86.04,20.06,180.00,9.7138,8.8460,11.7215,6.4593,10.1400,8.2997,4.1965,508.6678,8.8344,73.6287,372.5225
0,0,2007,0,23.4427,28.4309,86,Fagussylvatica,T,1552.3706,0.4267,0.5733,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,205.8915,822.1024,1027.9940,524.3767,551.6907,-27.3140,559.1492,568.9189,-9.7697,1.0521,1.0663,1.0135,1.0849,1.0312,-0.0186,-0.0177,0.3378,0.3554,-0.0176,66.2209,11.9501,6.9058,6.0000,5.9965,40.0000,435.5799,199.2692,1.0926,0.2428,6.8441,6.9976,36.7893,4338.4663,297,32,0,176,127,258.8711,24.7375,8071.8542,2.0256,12.7425,7.2265,0.0426,0.0242,11.6223,12.2390,53.3303,36.5908,16.7396,68.6116,4.7568,48.5735,8.9195,1.6500,1.9800,17.2870,1.6370,15.6500,9.4698,6.4660,0.6245,5.8415,9.6586,0.0000,0.6475,52.7607,24.3227,0.1414,0.1870,0.0987,0.0883,0.0624,0.0340,0.0285,0.0236,0.0130,0.0106,0.0000,77.0833,1.4289,22.2583,18.8550,0.0142,0.0075,2.9567,2.2255,191.3913,0.6444,2.2034,0.6865,0.1090,59.7963,17.2870,0.2891,0.0036,0.0008,0.0000,0.0000,405.2540,238.4549,193.7095,136.9715,53.6040,1552.3706,524.3767,1027.9940,260.6039,591.2849,2166.0592,1288.60,-263.77,263.77,328.15,9344.48,44.55,403.88,4.44,191.39,1908.55,173.30,273.47,0.11,38.66,132.03,102.66,579.92,434.94,0.00,144.98,1474.26,33.18,165.91,726.38,548.79,57.96,0.00,0.59,53.80,3.57,2.89,2.16,0.00,0.72,71.39,-13.66,-35.38,95.37,25.06,180.00,9.4829,8.0209,11.0569,5.5144,9.3871,7.4508,3.7903,496.6556,8.0053,76.8452,374.7600
0,0,2008,0,23.6035,28.7697,87,Fagussylvatica,T,1605.8770,0.4426,0.5574,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,228.6271,750.3432,978.9703,626.9067,625.9635,0.9432,588.0071,576.8696,11.1375,0.9985,0.9379,0.9394,0.9202,0.9216,0.0178,0.0178,0.3904,0.3898,0.0006,60.9617,11.9213,6.6783,6.0000,5.9965,40.0000,442.4262,207.6459,1.0926,0.2415,6.8671,7.0328,37.0370,4204.9288,295,34,0,180,124,214.8368,36.8353,7177.1579,2.9181,12.8308,6.9811,0.0432,0.0235,11.6073,12.2672,54.3276,36.9743,17.3533,68.0580,4.8067,49.5209,8.8475,1.6500,1.9800,17.5164,1.6490,15.8674,9.4143,6.5858,0.6331,5.9527,9.6133,0.0000,0.9019,53.2523,25.1775,0.1543,0.1898,0.0997,0.0900,0.0631,0.0342,0.0288,0.0240,0.0131,0.0108,0.0000,78.4298,1.9907,24.2490,19.1771,0.0200,0.0076,4.6048,2.2528,195.9961,0.6644,3.0070,1.1171,0.2294,60.9134,17.5164,0.2876,0.0052,0.0012,0.0000,0.0000,397.6384,215.8282,178.9472,133.6464,52.9100,1605.8770,626.9067,978.9703,248.4492,561.0428,2055.2730,1227.42,-378.46,378.46,300.59,8576.45,48.92,445.81,5.06,196.00,2104.54,402.26,273.53,0.06,38.68,132.03,102.75,582.65,436.99,0.00,145.66,1622.28,32.52,175.12,804.08,610.57,62.85,0.00,0.55,58.71,3.58,2.98,2.23,0.00,0.74,78.32,-15.22,-40.15,103.65,30.04,180.00,9.0562,8.4797,11.2256,6.2122,9.7154,7.9638,2.9548,706.8633,8.4607,79.1404,384.7700
0,0,2009,0,23.7212,29.0204,88,Fagussylvatica,T,1656.8608,0.4151,0.5849,0.0061,0.9939,0.0000,1.0000,0.0053,0.9947,207.7229,896.7323,1104.4552,552.4056,558.4618,-6.0562,582.1802,570.4238,11.7564,1.0110,1.0539,1.0425,1.0326,1.0214,0.0213,0.0211,0.3334,0.3371,-0.0037,66.6595,11.9121,6.6908,6.0000,5.9965,40.0000,445.2124,216.2385,1.0925,0.2395,6.8903,7.0810,37.2881,4774.8326,293,36,0,191,115,283.8975,27.2102,8847.5523,1.9458,12.8038,7.0559,0.0434,0.0239,11.7155,12.3008,54.9676,36.9979,17.9698,67.3085,4.8097,50.1579,8.7501,1.6500,1.9800,17.5832,1.6464,15.9368,9.3636,6.6356,0.6350,6.0006,9.5693,0.0000,0.6705,53.1704,26.0160,0.1671,0.1910,0.0998,0.0912,0.0631,0.0342,0.0290,0.0241,0.0132,0.0109,0.0000,79.1864,1.4801,25.7291,19.3805,0.0150,0.0077,3.0664,2.2621,199.0625,0.6794,2.2079,0.6898,0.0668,61.6032,17.5832,0.2854,0.0038,0.0006,0.0000,0.0000,435.2327,257.9170,206.9317,146.5412,57.8326,1656.8608,552.4056,1104.4552,259.4133,612.8861,2245.1910,1363.87,-292.99,292.99,353.86,10066.55,42.75,372.54,4.37,199.06,2303.61,161.82,273.32,0.26,38.65,131.75,102.65,588.42,441.32,0.00,147.11,1763.65,33.55,165.88,882.61,681.61,67.79,0.01,0.61,63.60,3.57,3.08,2.31,0.00,0.77,85.07,-16.63,-46.71,112.07,36.35,180.00,9.4737,8.9367,11.8794,6.5628,10.2609,8.4119,4.3072,440.2234,8.9582,74.8359,378.8125
0,0,2010,0,23.8584,29.3155,89,Fagussylvatica,T,1647.7261,0.4172,0.5828,0.0056,0.9944,0.0000,1.0000,0.0048,0.9952,218.5114,813.8685,1032.3800,615.3461,593.9648,21.3814,602.6096,567.8343,34.7753,0.9653,0.9793,1.0146,0.9228,0.9560,0.0565,0.0585,0.3735,0.3605,0.0130,62.6548,12.1401,6.7614,6.0000,5.9965,40.0000,450.1360,224.8339,1.0925,0.2382,6.9138,7.1164,37.5427,4675.1408,291,38,0,184,121,267.4342,22.9888,8270.3269,2.3009,13.1042,7.1240,0.0447,0.0243,11.6975,12.5621,55.7838,37.2021,18.5817,66.6898,4.8363,50.9475,8.6697,1.6500,1.9800,17.7557,1.6513,16.1045,9.2999,6.7293,0.6402,6.0891,9.5131,0.0000,0.7919,53.4057,26.8630,0.1800,0.1930,0.1003,0.0926,0.0635,0.0343,0.0293,0.0244,0.0133,0.0111,0.0000,80.2688,1.7487,27.4778,19.6416,0.0179,0.0078,3.8486,2.2799,202.9111,0.6973,2.5664,0.9098,0.1725,62.5130,17.7557,0.2840,0.0046,0.0010,0.0000,0.0000,414.4141,232.8460,190.6533,139.1732,55.2933,1647.7261,615.3461,1032.3800,244.1586,573.9850,2102.6843,1276.54,-371.19,371.19,338.20,9633.92,47.78,383.26,4.59,202.91,2506.52,94.22,284.93,0.16,40.20,137.67,106.91,595.16,446.37,0.00,148.79,1902.92,34.38,167.28,957.08,744.17,72.90,0.00,0.65,68.51,3.73,3.20,2.40,0.00,0.80,91.70,-18.06,-51.92,119.12,42.56,180.00,9.7138,8.8460,11.7215,6.4593,10.1400,8.2997,4.1965,508.6678,8.8344,73.6287,382.7000
